c1,c2,u1,u2,t
25,3,0.50997,0.06927,8
25,4,0.51159,0.09285,4
25,5,0.50915,0.1116,6
25,6,0.51309,0.13239,7
25,7,0.50678,0.15067,8
25,8,0.5109,0.16778,6
25,9,0.50926,0.18752,8
25,10,0.50952,0.21117,5
25,11,0.50875,0.23278,11
25,12,0.51262,0.24867,5
25,13,0.51071,0.27202,6
25,14,0.50979,0.29147,9
25,15,0.51146,0.31148,13
25,16,0.51064,0.33211,4
25,17,0.50932,0.35168,12
25,18,0.50494,0.37516,4
25,19,0.50552,0.38889,6
25,20,0.50564,0.40652,3
25,21,0.51387,0.42993,7
25,22,0.51258,0.449,5
25,23,0.50604,0.46387,6
25,24,0.50683,0.48073,1
25,25,0.50922,0.50554,1
25,27,0.50872,0.55362,1
25,31,0.50676,0.63595,1
25,36,0.50759,0.73705,3
25,37,0.50924,0.75326,8
25,38,0.51079,0.77425,6
25,39,0.5082,0.79429,3
25,40,0.50955,0.80754,6
25,41,0.50865,0.83001,5
25,42,0.50969,0.85121,6
25,43,0.50656,0.86772,4
25,44,0.50946,0.88751,5
25,45,0.50561,0.90352,1
25,47,0.51708,0.95868,1
26,2,0.52021,0.05463,1
26,3,0.52654,0.07438,3
26,4,0.52991,0.08878,8
26,5,0.53058,0.1114,6
26,6,0.52738,0.13161,5
26,7,0.53379,0.15405,7
26,8,0.52981,0.16546,6
26,9,0.52852,0.19206,7
26,10,0.5331,0.21314,4
26,11,0.53069,0.23115,3
26,12,0.53184,0.24676,12
26,13,0.52708,0.26965,8
26,14,0.53216,0.29084,7
26,15,0.52993,0.31193,10
26,16,0.52873,0.32791,7
26,17,0.52844,0.35449,6
26,18,0.53084,0.36742,8
26,19,0.53192,0.38837,7
26,20,0.53559,0.40752,5
26,21,0.52881,0.43175,9
26,22,0.52619,0.45055,8
26,23,0.53597,0.46504,3
26,27,0.53581,0.54889,3
26,28,0.53575,0.57492,4
26,29,0.53677,0.58984,4
26,30,0.53573,0.61244,3
26,31,0.53846,0.62654,3
26,32,0.53796,0.64983,4
26,33,0.53596,0.67148,3
26,36,0.53324,0.73566,8
26,37,0.53425,0.75181,5
26,38,0.53335,0.76434,2
26,39,0.52981,0.79021,10
26,40,0.52926,0.80948,13
26,41,0.53299,0.82957,8
26,42,0.52786,0.84962,10
26,43,0.52664,0.86682,3
26,46,0.53794,0.93305,1
27,1,0.55498,0.0257,1
27,3,0.54479,0.07863,2
27,4,0.54861,0.09002,5
27,5,0.54887,0.11152,4
27,6,0.55103,0.13298,8
